ThrottleA;ThrottleB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;CarRotXA;CarRotXB;Car RotationYA;Car RotationYB;Car RotationZA;CarRotZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;CarPosXA;CarPosXB;HeadPosYA;HeadPosYB;CarPosZA;CarPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0;0.0043;False;False;53.6;63.9415;0.0448;0.0448;72.2;106.2406;0.0038;0.0056;180.3439;235.6641;0.0;0.0032; ; ; ; ; ; ;155640;71.67412;inf;2138.83;54.415;63.7519;1.538;1.6299;72.1288;106.3136;352.6231;352.6037;190.6728;226.3312;358.6595;1.2155;;;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.5, 0.5, -0.6, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.4)_(0.0, -0.6, -0.3, 0.7)_1.003327_System.String[];0.0;0.0138;-0.0782;54.0017;63.9797;1.1477;1.1724;72.1033;105.8391;354.6039;354.1045;188.7584;238.8131;0.6964;356.6319
0.0;0.0031;False;False;53.6;63.9414;0.0454;0.0454;72.2;106.2406;0.0058;0.0068;180.3445;235.6637;0.0;0.0023;-0.0013;0.0096;0.0096;0.0004;-0.0009;0.0000;155643;66.72878;inf;2138.88;54.415;63.7518;1.5387;1.6305;72.1287;106.3136;352.6255;352.6052;190.6728;226.3313;358.6599;1.2143;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.5, 0.5, -0.6, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.5)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.4)_(0.0, -0.6, -0.3, 0.7)_1.003327_System.String[];0.05;0.0138;-0.0793;54.0018;63.9792;1.1487;1.1732;72.1018;105.839;354.6915;354.2049;188.616;239.1191;0.7445;356.4972
0.0;0.0023;False;False;53.6;63.9414;0.0457;0.0457;72.2;106.2406;0.0067;0.0071;180.3447;235.6638;0.0;0.0018;-0.0006;0.0055;0.0054;-0.0010;-0.0004;0.0000;155646;69.00258;inf;2138.92;54.415;63.7518;1.539;1.6309;72.1287;106.3136;352.6266;352.6054;190.6731;226.3309;358.6602;1.2136;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.5, 0.5, -0.6, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.4)_(0.0, -0.6, -0.3, 0.7)_1.003327_System.String[];0.092;0.0138;-0.0794;54.0019;63.9788;1.1494;1.1737;72.101;105.8388;354.7888;354.3289;188.5258;239.3691;0.7663;356.3442
0.0;0.0017;False;False;53.6;63.9414;0.0459;0.0459;72.2;106.2406;0.0067;0.007;180.3452;235.6645;0.0;0.0014;-0.0018;0.0036;0.0036;0.0000;-0.0013;0.0000;155649;70.43971;inf;2138.96;54.415;63.7518;1.5392;1.6311;72.1287;106.3136;352.6268;352.6053;190.674;226.3321;358.6602;1.2132;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.6, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.4)_(0.0, -0.6, -0.3, 0.7)_1.003327_System.String[];0.1335;0.0138;-0.0793;54.002;63.9784;1.1498;1.174;72.1006;105.8386;354.9367;354.5054;188.4608;239.6503;0.6878;356.1386
0.0;0.0012;False;False;53.6;63.9413;0.046;0.046;72.2;106.2405;0.0064;0.0064;180.346;235.6638;0.0;0.001;-0.0008;0.0023;0.0023;-0.0010;-0.0005;0.0000;155652;71.10478;inf;2139.0;54.415;63.7517;1.5394;1.6312;72.1287;106.3135;352.6266;352.6048;190.6744;226.3313;358.6602;1.2129;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.6, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.3)_(0.0, -0.6, -0.3, 0.7)_1.003327_System.String[];0.1753;0.0138;-0.0785;54.002;63.9781;1.15;1.1743;72.1006;105.8384;354.9914;354.7217;188.4481;239.9216;0.5536;355.938
0.0;0.0009;False;False;53.6;63.9413;0.0461;0.0461;72.1999;106.2405;0.0058;0.0058;180.3447;235.6638;0.0;0.0008;-0.0010;0.0013;0.0013;-0.0005;-0.0007;0.0000;155655;71.39126;inf;2139.05;54.415;63.7517;1.5395;1.6313;72.1287;106.3135;352.6261;352.6042;190.6739;226.3311;358.6601;1.2128;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.6, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.3)_(0.0, -0.6, -0.3, 0.7)_1.003327_System.String[];0.2173;0.0138;-0.0778;54.0022;63.9779;1.15;1.1741;72.1012;105.8383;354.9399;354.9105;188.4817;240.1438;0.4364;355.753
0.0;0.0006;False;False;53.6;63.9412;0.0461;0.0461;72.1999;106.2404;0.005;0.005;180.3439;235.6634;0.0;0.0006;-0.0008;0.0007;0.0007;-0.0019;-0.0006;0.0000;155658;71.3878;inf;2139.09;54.415;63.7516;1.5395;1.6314;72.1287;106.3135;352.6254;352.6035;190.6728;226.331;358.6599;1.2127;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.6, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.3)_(0.0, -0.6, -0.3, 0.7)_1.003327_System.String[];0.2593;0.0138;-0.0771;54.0024;63.9777;1.1496;1.1739;72.102;105.8382;354.859;355.0965;188.5432;240.2958;0.3322;355.6228
0.0;0.0005;False;False;53.6;63.9412;0.0462;0.0462;72.1998;106.2404;0.0042;0.0045;180.3438;235.6634;0.0;0.0005;0.0002;0.0003;0.0003;0.0007;0.0002;0.0000;155661;71.45321;inf;2139.13;54.415;63.7516;1.5396;1.6314;72.1287;106.3135;352.6245;352.6028;190.6726;226.3307;358.6598;1.2126;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.6, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.3)_(0.0, -0.6, -0.3, 0.7)_1.003327_System.String[];0.3013;0.0138;-0.077;54.0026;63.9776;1.1493;1.1737;72.1026;105.8376;354.8274;355.2659;188.5744;240.3739;0.3124;355.5848
0.0;0.0003;False;False;53.6;63.9412;0.0462;0.0462;72.1998;106.2404;0.0038;0.0037;180.3435;235.6638;0.0;0.0004;-0.0015;0.0000;0.0000;-0.0022;-0.0011;0.0000;155664;71.71832;inf;2139.17;54.415;63.7516;1.5396;1.6314;72.1287;106.3135;352.6241;352.6022;190.6725;226.3313;358.6597;1.2126;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.6, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.3)_(0.0, -0.6, -0.3, 0.7)_1.003327_System.String[];0.3428;0.0138;-0.077;54.0028;63.9776;1.1491;1.1736;72.1035;105.8371;354.7651;355.3622;188.5583;240.3617;0.406;355.653
0.0;0.0002;False;False;53.6;63.9411;0.0462;0.0462;72.1998;106.2403;0.0032;0.0032;180.3449;235.6646;0.0;0.0003;-0.0006;-0.0001;-0.0001;0.0001;-0.0004;0.0000;155667;71.85499;inf;2139.21;54.415;63.7515;1.5396;1.6314;72.1287;106.3134;352.6235;352.6015;190.6729;226.3317;358.6596;1.2126;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.6, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.3)_(0.0, -0.6, -0.3, 0.7)_1.003327_System.String[];0.3845;0.0138;-0.0773;54.0029;63.9775;1.149;1.1736;72.1041;105.8363;354.6099;355.4193;188.5403;240.2769;0.5661;355.8533
0.0;0.0002;False;False;53.6;63.9411;0.0462;0.0461;72.1998;106.2403;0.0027;0.0027;180.3452;235.6653;0.0;0.0002;-0.0007;-0.0002;-0.0002;-0.0004;-0.0005;0.0000;155670;71.80785;inf;2139.26;54.415;63.7515;1.5396;1.6314;72.1286;106.3134;352.623;352.601;190.6734;226.3331;358.6595;1.2127;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.6, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.4)_(0.0, -0.6, -0.3, 0.7)_1.003327_System.String[];0.4263;0.0138;-0.0783;54.0029;63.9775;1.1492;1.1736;72.1043;105.8356;354.4571;355.4614;188.5043;240.1013;0.6936;356.1425
0.0;0.0001;False;False;53.6;63.941;0.0461;0.0461;72.1998;106.2403;0.0023;0.0023;180.3461;235.6647;0.0;0.0002;-0.0006;-0.0002;-0.0002;-0.0024;-0.0004;0.0000;155673;71.9012;inf;2139.3;54.415;63.7515;1.5396;1.6314;72.1286;106.3134;352.6227;352.6006;190.6747;226.3326;358.6594;1.2127;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.6, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.4)_(0.0, -0.6, -0.3, 0.7)_1.003327_System.String[];0.468;0.0138;-0.0804;54.0033;63.9777;1.1498;1.1733;72.1041;105.835;354.3123;355.5087;188.4556;239.8662;0.7591;356.4911
0.0;0.0001;False;False;53.6;63.941;0.0461;0.0461;72.1997;106.2402;0.0019;0.0019;180.3467;235.6646;0.0;0.0001;-0.0013;-0.0002;-0.0002;0.0000;-0.0009;0.0000;155676;71.75443;inf;2139.34;54.415;63.7514;1.5396;1.6314;72.1286;106.3134;352.6222;352.6002;190.6758;226.3318;358.6593;1.2127;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.6, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.4)_(0.0, -0.6, -0.3, 0.7)_1.003327_System.String[];0.5098;0.0138;-0.0836;54.0036;63.9778;1.1506;1.173;72.1037;105.8345;354.2323;355.5677;188.4064;239.6574;0.8111;356.8709
0.0;0.0001;False;False;53.6;63.941;0.0461;0.0461;72.1997;106.2402;0.0016;0.0017;180.346;235.6649;0.0;0.0001;-0.0005;-0.0002;-0.0002;-0.0012;-0.0003;0.0000;155679;71.55322;inf;2139.38;54.415;63.7514;1.5396;1.6314;72.1286;106.3134;352.6219;352.5999;190.6752;226.3323;358.6593;1.2127;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.6, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.4)_(0.1, -0.6, -0.3, 0.7)_1.003327_System.String[];0.552;0.0138;-0.0886;54.0039;63.9777;1.152;1.1729;72.1033;105.8341;354.2069;355.5625;188.3819;239.487;0.8337;357.2546
0.0;0.0001;False;False;53.6;63.9409;0.0461;0.0461;72.1997;106.2402;0.0014;0.0016;180.3461;235.6653;0.0;0.0002;-0.0010;-0.0002;-0.0002;0.0000;-0.0007;0.0000;155682;71.77134;inf;2139.42;54.415;63.7514;1.5395;1.6314;72.1286;106.3133;352.6216;352.5998;190.6751;226.3328;358.6592;1.2127;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.6, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.4)_(0.1, -0.6, -0.3, 0.7)_1.003327_System.String[];0.5935;0.0138;-0.0952;54.0043;63.9775;1.154;1.1728;72.1027;105.8337;354.1203;355.4856;188.4118;239.3332;0.8469;357.5492
0.0;0.0078;False;False;53.6;63.9409;0.0461;0.0461;72.1997;106.2402;0.0012;0.0015;180.3454;235.6643;0.0;0.0001;-0.0001;-0.0002;-0.0002;0.0009;0.0000;0.0000;155685;71.6769;inf;2139.46;54.415;63.7514;1.5395;1.6314;72.1286;106.3133;352.6214;352.5997;190.6743;226.3318;358.6592;1.2128;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.5, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.7, -0.4)_(0.1, -0.6, -0.3, 0.7)_1.003327_System.String[];0.6355;0.0138;-0.1035;54.0045;63.9773;1.1559;1.1723;72.1021;105.8334;353.9854;355.3705;188.441;238.9989;0.8918;357.7107
0.0;0.0246;False;False;53.6;63.9408;0.0461;0.0461;72.1997;106.2401;0.0012;0.001;180.3452;235.6634;0.0;0.0;-0.0042;-0.0001;-0.0001;-0.0009;-0.0033;0.0000;155688;71.77396;inf;2139.51;54.415;63.7514;1.5395;1.6314;72.1286;106.3133;352.6214;352.5994;190.674;226.3312;358.6592;1.2128;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.7, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.5, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.6, -0.4)_(0.1, -0.6, -0.3, 0.7)_1.003327_System.String[];0.6772;0.0138;-0.1127;54.0049;63.9774;1.1578;1.1719;72.1012;105.833;353.7802;355.2089;188.4536;238.3224;0.9901;357.7512
0.0;0.0509;False;False;53.6;63.9407;0.0461;0.0461;72.1997;106.24;0.0011;0.0005;180.3461;235.6633;0.0;0.0;-0.0042;-0.0001;-0.0001;0.0011;-0.0032;0.0000;155691;71.3991;inf;2139.55;54.415;63.7512;1.5395;1.6314;72.1285;106.3132;352.6212;352.5988;190.675;226.3308;358.6592;1.2127;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.7, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.5, 0.6, -0.5, 0.2)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.6, -0.4)_(0.1, -0.6, -0.3, 0.7)_1.003327_System.String[];0.7195;0.0138;-0.1231;54.0052;63.9779;1.1589;1.1717;72.1004;105.8321;353.6085;355.0359;188.4528;237.2798;1.0421;357.7701
0.0;0.0792;False;False;53.6;63.9404;0.0461;0.0461;72.1997;106.2398;0.001;-0.0003;180.347;235.6631;0.0;-0.0002;-0.0109;-0.0001;-0.0001;-0.0001;-0.0086;0.0000;155694;71.64104;inf;2139.59;54.415;63.751;1.5395;1.6314;72.1286;106.3131;352.6212;352.5982;190.6754;226.3307;358.6592;1.2127;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.9, -0.3)_(0.5, 0.6, -0.5, 0.2)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.6, -0.4)_(0.1, -0.6, -0.3, 0.7)_1.003327_System.String[];0.7612;0.0138;-0.1345;54.0053;63.9785;1.1589;1.172;72.0996;105.831;353.5889;354.7475;188.4652;235.9876;1.0591;357.8028
0.0;0.1059;False;False;53.6;63.9399;0.0461;0.0461;72.1997;106.2394;0.0008;-0.0016;180.3467;235.6614;0.0;-0.0005;-0.0168;-0.0001;-0.0001;-0.0018;-0.0132;0.0000;155697;71.81648;inf;2139.63;54.415;63.7506;1.5395;1.6314;72.1286;106.3127;352.6212;352.597;190.6755;226.3299;358.6591;1.2127;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.8, -0.3)_(0.5, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.6, -0.4)_(0.1, -0.6, -0.3, 0.7)_1.003327_System.String[];0.8027;0.0138;-0.1465;54.0054;63.9791;1.1581;1.1722;72.0991;105.8296;353.7746;354.3687;188.493;234.5901;1.0478;357.8576
0.0;0.133;False;False;53.6;63.939;0.0461;0.0461;72.1997;106.2387;0.0009;-0.0034;180.3477;235.6575;0.0;-0.0009;-0.0249;-0.0001;-0.0001;0.0007;-0.0196;0.0000;155700;71.90529;inf;2139.67;54.415;63.7498;1.5395;1.6314;72.1285;106.3122;352.6211;352.5953;190.6761;226.3261;358.6591;1.2126;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.9, -0.3)_(0.5, 0.6, -0.5, 0.3)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.6, -0.4)_(0.2, -0.6, -0.3, 0.7)_1.003327_System.String[];0.8445;0.0138;-0.1584;54.0055;63.9794;1.1573;1.1726;72.0991;105.828;354.073;353.9718;188.5135;233.248;1.069;357.9729
0.0;0.1658;False;False;53.6;63.9377;0.0461;0.0461;72.1997;106.2377;0.0007;-0.0056;180.3482;235.6528;0.0;-0.0013;-0.0357;0.0000;-0.0001;-0.0016;-0.0282;0.0000;155703;71.95052;inf;2139.72;54.415;63.7488;1.5395;1.6314;72.1285;106.3113;352.621;352.5933;190.6772;226.3218;358.6591;1.2126;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.6, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.9, -0.3)_(0.5, 0.6, -0.5, 0.4)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.4, -0.6, -0.4)_(0.2, -0.6, -0.3, 0.7)_1.003327_System.String[];0.8862;0.0138;-0.1703;54.0057;63.9797;1.1567;1.173;72.0995;105.8258;354.3201;353.5565;188.4936;231.9028;1.1289;358.1196
0.0;0.2036;False;False;53.6;63.9359;0.0461;0.0461;72.1996;106.2362;0.0007;359.9917;180.3475;235.6462;0.0;-0.002;-0.0474;0.0000;-0.0001;0.0008;-0.0378;0.0000;155706;71.97356;inf;2139.76;54.415;63.7471;1.5395;1.6314;72.1285;106.31;352.6208;352.5906;190.6766;226.3157;358.6591;1.2123;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.9, -0.3)_(0.4, 0.6, -0.5, 0.5)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.6, 0.6)_1.027391_System.String[];HandRight_(-0.5, -0.6, -0.4)_(0.2, -0.6, -0.2, 0.7)_1.003327_System.String[];0.9277;0.0138;-0.1815;54.0062;63.9793;1.1565;1.1732;72.0999;105.8233;354.3976;353.2226;188.4006;230.6661;1.186;358.3243
0.0;0.2421;False;False;53.6;63.9334;0.0461;0.0461;72.1996;106.2343;0.0007;359.9884;180.3476;235.6357;0.0;-0.0028;-0.0637;0.0000;-0.0001;-0.0006;-0.0513;0.0000;155709;71.90945;inf;2139.8;54.415;63.7449;1.5395;1.6314;72.1285;106.3083;352.6209;352.5875;190.6762;226.3069;358.6591;1.2121;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.9, -0.3)_(0.5, 0.6, -0.4, 0.5)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.6, 0.6)_1.027391_System.String[];HandRight_(-0.5, -0.6, -0.4)_(0.2, -0.6, -0.2, 0.8)_1.003327_System.String[];0.9697;0.0138;-0.1922;54.0065;63.9783;1.1571;1.1733;72.1004;105.8203;354.2168;353.0393;188.2163;229.524;1.2701;358.5915
0.0;0.2733;False;False;53.6;63.9302;0.0461;0.0461;72.1996;106.2317;0.0007;359.9849;180.3473;235.6218;0.0;-0.0038;-0.0898;0.0000;-0.0001;-0.0020;-0.0728;0.0000;155712;71.95358;inf;2139.84;54.415;63.7421;1.5395;1.6314;72.1285;106.3059;352.6209;352.5838;190.6758;226.2941;358.6591;1.2117;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.8, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.9, -0.3)_(0.5, 0.5, -0.4, 0.5)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.6, 0.6)_1.027391_System.String[];HandRight_(-0.5, -0.6, -0.4)_(0.3, -0.5, -0.2, 0.8)_1.003327_System.String[];1.0112;0.0138;-0.2016;54.0068;63.9765;1.1583;1.1732;72.1007;105.817;353.8774;353.0106;187.9923;228.5079;1.3147;358.876
0.0;0.296;False;False;53.6;63.9262;0.0461;0.0461;72.1996;106.2284;0.0006;359.9811;180.3481;235.6024;0.0;-0.0047;-0.1118;0.0000;-0.0001;-0.0004;-0.0914;0.0000;155715;71.97601;inf;2139.88;54.415;63.7384;1.5395;1.6314;72.1284;106.3029;352.6208;352.5801;190.6765;226.2767;358.6591;1.2114;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.7, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.9, -0.3)_(0.6, 0.5, -0.4, 0.6)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.5, -0.6, -0.4)_(0.3, -0.5, -0.2, 0.8)_1.003327_System.String[];1.053;0.0138;-0.2091;54.0069;63.9737;1.1592;1.1728;72.101;105.8132;353.4748;353.0863;187.7493;227.585;1.2801;359.1404
0.0;0.3126;False;False;53.6;63.9213;0.0461;0.0461;72.1996;106.2244;0.0007;359.977;180.349;235.5789;0.0;359.9941;-0.1336;0.0000;-0.0001;0.0000;-0.1097;0.0000;155718;71.95368;inf;2139.92;54.415;63.7338;1.5395;1.6314;72.1284;106.2992;352.6208;352.5759;190.6776;226.2547;358.6591;1.2109;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.7, -0.4)_(0.5, 0.5, -0.7, 0.0)_1.027391_System.String[];HandLeft_(-0.6, -0.9, -0.3)_(0.6, 0.5, -0.4, 0.6)_1.003327_System.String[];HandRight_(0.5, -0.8, -0.4)_(0.0, -0.6, -0.5, 0.6)_1.027391_System.String[];HandRight_(-0.5, -0.6, -0.4)_(0.3, -0.5, -0.2, 0.8)_1.003327_System.String[];1.0947;0.0138;-0.2147;54.007;63.9699;1.1598;1.1726;72.1011;105.8089;353.1087;353.1744;187.4891;226.7655;1.227;359.3933
